400
480
320
Degree,Service_Time,Time
7,57,0
7,57,200
6,67,400
6,67,600
5,80,800
5,80,1000
5,80,1200
5,80,1400
4,100,1600
4,100,1800
4,100,2000
4,100,2200
4,100,2400
3,134,2600
3,134,2800
3,134,3000
3,134,3200
2,201,3400
2,201,3600
2,201,3800
2,201,4000
2,201,4200
1,403,4400
1,403,4600
1,403,4800
1,403,5000
1,403,5200
1,403,5400
1,403,5600
1,403,5800
1,403,6000
1,403,6200
1,403,6400
1,403,6600
1,403,6800
1,403,7000
1,403,7200
1,403,7400
1,403,7600
1,403,7800
1,403,8000
1,403,8200
1,403,8400
1,403,8600
1,403,8800
1,403,9000
1,403,9200
1,403,9400
1,403,9600
1,403,9800
1,403,10000
1,403,10200
1,403,10400
1,403,10600
1,403,10800
1,403,11000
1,403,11200
1,403,11400
1,403,11600
1,403,11800
1,403,12000
1,403,12200
1,403,12400
1,403,12600
1,403,12800
1,403,13000
1,403,13200
1,403,13400
1,403,13600
1,403,13800
1,403,14000
1,403,14200
1,403,14400
1,403,14600
1,403,14800
1,403,15000
1,403,15200
1,403,15400
1,403,15600
1,403,15800
1,403,16000
1,403,16200
1,403,16400
1,403,16600
1,403,16800
1,403,17000
1,403,17200
1,403,17400
1,403,17600
1,403,17800
1,403,18000
1,403,18200
1,403,18400
1,403,18600
1,403,18800
1,403,19000
1,403,19200
1,403,19400
1,403,19600
1,403,19800
1,403,20000
1,403,20200
1,403,20400
1,403,20600
1,403,20800
1,403,21000
1,403,21200
1,403,21400
1,403,21600
1,403,21800
1,403,22000
1,403,22200
1,403,22400
1,403,22600
1,403,22800
1,403,23000
1,403,23200
1,403,23400
1,403,23600
1,403,23800
1,403,24000
1,403,24200
1,403,24400
1,403,24600
1,403,24800
1,403,25000
1,403,25200
1,403,25400
1,403,25600
1,403,25800
1,403,26000
1,403,26200
1,403,26400
1,403,26600
1,403,26800
1,403,27000
1,403,27200
1,403,27400
1,403,27600
1,403,27800
