100
120
80
Degree,Service_Time,Time
256,511680,0
208,62,200
199,87,400
196,94,600
195,97,800
194,98,1000
201,126,1200
200,93,1400
198,94,1600
197,95,1800
196,93,2000
196,97,2200
195,97,2400
195,98,2600
194,98,2800
194,98,3000
194,98,3200
194,99,3400
194,98,3600
194,99,3800
193,98,4000
190,99,4200
192,102,4400
193,100,4600
193,99,4800
193,99,5000
193,99,5200
190,99,5400
191,102,5600
191,101,5800
191,101,6000
192,101,6200
192,100,6400
192,100,6600
192,100,6800
192,100,7000
192,100,7200
192,100,7400
192,100,7600
192,100,7800
192,100,8000
192,100,8200
192,100,8400
192,100,8600
192,100,8800
192,100,9000
192,100,9200
192,100,9400
192,100,9600
192,100,9800
192,100,10000
192,100,10200
192,100,10400
192,100,10600
192,100,10800
192,100,11000
192,100,11200
192,100,11400
192,100,11600
192,100,11800
192,100,12000
192,100,12200
192,100,12400
192,100,12600
192,100,12800
192,100,13000
192,100,13200
192,100,13400
192,100,13600
192,100,13800
192,100,14000
192,100,14200
192,100,14400
192,100,14600
192,100,14800
192,100,15000
192,100,15200
192,100,15400
192,100,15600
192,100,15800
192,100,16000
192,100,16200
192,100,16400
192,100,16600
192,100,16800
192,100,17000
192,100,17200
192,100,17400
192,100,17600
192,100,17800
192,100,18000
192,100,18200
192,100,18400
192,100,18600
192,100,18800
192,100,19000
192,100,19200
192,100,19400
192,100,19600
192,100,19800
192,100,20000
192,100,20200
192,100,20400
192,100,20600
192,100,20800
192,100,21000
192,100,21200
192,100,21400
192,100,21600
192,100,21800
192,100,22000
192,100,22200
192,100,22400
192,100,22600
192,100,22800
192,100,23000
192,100,23200
192,100,23400
192,100,23600
192,100,23800
192,100,24000
192,100,24200
192,100,24400
192,100,24600
192,100,24800
192,100,25000
192,97,25200
190,73,25400
183,34,25600
177,28,25800
170,29,26000
163,31,26200
157,34,26400
150,37,26600
144,42,26800
137,36,27000
131,47,27200
125,44,27400
118,43,27600
112,53,27800
105,45,28000
99,64,28200
93,62,28400
87,60,28600
80,74,28800
74,80,29000
68,86,29200
62,98,29400
59,104,29600
59,114,29800
59,110,30000
60,121,30200
61,115,30400
62,111,30600
62,112,30800
62,115,31000
63,98,31200
63,121,31400
64,117,31600
65,103,31800
65,116,32000
66,100,32200
66,103,32400
66,95,32600
67,98,32800
67,94,33000
67,97,33200
67,102,33400
67,103,33600
67,96,33800
67,108,34000
68,107,34200
68,103,34400
68,102,34600
67,89,34800
67,95,35000
67,102,35200
68,108,35400
67,96,35600
67,107,35800
67,101,36000
67,105,36200
67,106,36400
67,103,36600
67,102,36800
68,117,37000
68,96,37200
68,100,37400
68,99,37600
68,107,37800
69,123,38000
70,147,38200
74,214,38400
80,270,38600
89,350,38800
99,379,39000
108,359,39200
117,337,39400
125,301,39600
134,274,39800
143,246,40000
