8000
9600
6400
Degree,Service_Time,Time
1,1007819,0
1,1007819,200
1,1007819,400
1,1007819,600
121,969866,800
62,215,1000
42,443,1200
32,707,1400
26,998,1600
22,1516,1800
20,2110,2000
18,2560,2200
17,3158,2400
16,3534,2600
15,3999,2800
14,4552,3000
14,5221,3200
13,5229,3400
13,5033,3600
13,4819,3800
13,448898,4000
13,7140,4200
12,5990,4400
12,7117,4600
12,7107,4800
12,7102,5000
7,7112,5200
7,20026,5400
8,20775,5600
9,16245,5800
9,12852,6000
10,12632,6200
10,10398,6400
10,10236,6600
10,10243,6800
11,10276,7000
11,8478,7200
11,8443,7400
11,8467,7600
11,8455,7800
11,8461,8000
12,8453,8200
12,7159,8400
12,7099,8600
12,7093,8800
12,7102,9000
12,7117,9200
12,7096,9400
11,7122,9600
11,8459,9800
11,8464,10000
11,8462,10200
10,8461,10400
10,10247,10600
10,10240,10800
10,10242,11000
10,10240,11200
10,10184,11400
10,10242,11600
11,10239,11800
11,8564,12000
11,8468,12200
11,8455,12400
11,8468,12600
11,8461,12800
11,8466,13000
11,8462,13200
11,8464,13400
11,8462,13600
11,8453,13800
11,8438,14000
11,8464,14200
11,8432,14400
11,8459,14600
11,8462,14800
11,8461,15000
11,8455,15200
11,8464,15400
11,8469,15600
11,8460,15800
11,8462,16000
11,8465,16200
11,8465,16400
11,8469,16600
11,8462,16800
11,8469,17000
11,8456,17200
11,8495,17400
11,8467,17600
11,8456,17800
11,8445,18000
11,8448,18200
11,8455,18400
11,8462,18600
11,8468,18800
11,8464,19000
11,8461,19200
11,8459,19400
11,8450,19600
11,8459,19800
11,8425,20000
11,8462,20200
11,8440,20400
11,8455,20600
11,8459,20800
11,8464,21000
11,8462,21200
11,8456,21400
11,8448,21600
11,8462,21800
11,8434,22000
11,8459,22200
11,8454,22400
11,8462,22600
11,8462,22800
11,8459,23000
11,8459,23200
11,8474,23400
11,8459,23600
11,8450,23800
11,8464,24000
11,8454,24200
11,8471,24400
11,8465,24600
11,8438,24800
11,8461,25000
11,8458,25200
11,8487,25400
11,8462,25600
11,8462,25800
11,8464,26000
11,8462,26200
11,8461,26400
11,8468,26600
11,8461,26800
11,8465,27000
11,8457,27200
11,8472,27400
11,8462,27600
11,8446,27800
11,8464,28000
11,8459,28200
11,8469,28400
11,8457,28600
11,8464,28800
11,8457,29000
11,8464,29200
11,8467,29400
11,8454,29600
11,8462,29800
11,8464,30000
11,8462,30200
11,8470,30400
11,8464,30600
11,8461,30800
11,8462,31000
11,8462,31200
11,8477,31400
11,8462,31600
11,8462,31800
11,8465,32000
11,8462,32200
11,8472,32400
11,8460,32600
11,8471,32800
11,8464,33000
11,8462,33200
11,8403,33400
11,8059,33600
10,7428,33800
10,8141,34000
10,6433,34200
10,5907,34400
