1
1
1
Degree,Service_Time,Time
1,408,0
1,407,200
1,407,400
1,412,600
1,407,800
1,407,1000
1,407,1200
1,407,1400
1,407,1600
1,408,1800
1,407,2000
1,407,2200
1,407,2400
1,407,2600
1,419,2800
1,419,3000
1,425,3200
1,419,3400
1,422,3600
1,422,3800
1,419,4000
1,419,4200
1,420,4400
1,420,4600
1,407,4800
1,407,5000
1,407,5200
1,407,5400
1,420,5600
1,408,5800
1,407,6000
1,420,6200
1,419,6400
1,420,6600
1,407,6800
1,408,7000
1,407,7200
1,407,7400
1,418,7600
1,419,7800
1,419,8000
1,407,8200
1,407,8400
1,407,8600
1,418,8800
1,408,9000
1,408,9200
1,407,9400
1,419,9600
1,407,9800
1,414,10000
1,407,10200
1,407,10400
1,407,10600
1,414,10800
1,407,11000
1,412,11200
1,407,11400
1,407,11600
1,407,11800
1,419,12000
1,407,12200
1,430,12400
1,407,12600
1,407,12800
1,407,13000
1,407,13200
1,413,13400
1,407,13600
1,413,13800
1,407,14000
1,408,14200
1,419,14400
1,419,14600
1,420,14800
1,420,15000
1,407,15200
1,407,15400
1,407,15600
1,407,15800
1,407,16000
1,407,16200
1,407,16400
1,417,16600
1,407,16800
1,407,17000
1,407,17200
1,409,17400
1,407,17600
1,407,17800
1,407,18000
1,407,18200
1,407,18400
1,407,18600
1,418,18800
1,408,19000
1,408,19200
1,407,19400
1,407,19600
1,407,19800
1,407,20000
1,407,20200
1,419,20400
1,407,20600
1,407,20800
1,407,21000
1,407,21200
1,407,21400
1,407,21600
1,407,21800
1,407,22000
1,418,22200
1,407,22400
1,407,22600
1,419,22800
1,418,23000
1,407,23200
1,407,23400
1,407,23600
1,407,23800
1,407,24000
1,407,24200
1,407,24400
1,407,24600
1,407,24800
1,407,25000
1,407,25200
1,407,25400
1,407,25600
1,407,25800
1,418,26000
1,407,26200
1,407,26400
1,407,26600
1,407,26800
1,407,27000
1,407,27200
1,407,27400
1,407,27600
1,413,27800
1,407,28000
1,407,28200
1,407,28400
1,418,28600
1,418,28800
1,407,29000
1,421,29200
1,408,29400
1,420,29600
1,407,29800
1,407,30000
1,407,30200
1,417,30400
1,407,30600
1,407,30800
1,407,31000
1,407,31200
1,407,31400
1,407,31600
1,407,31800
1,407,32000
1,407,32200
1,407,32400
1,407,32600
1,407,32800
1,408,33000
1,420,33200
1,408,33400
1,407,33600
1,407,33800
1,419,34000
1,407,34200
1,407,34400
1,408,34600
1,409,34800
1,408,35000
1,407,35200
1,407,35400
1,419,35600
1,407,35800
1,407,36000
1,407,36200
1,408,36400
1,419,36600
1,402,36800
1,402,37000
1,402,37200
1,402,37400
1,402,37600
1,402,37800
1,402,38000
1,402,38200
1,402,38400
1,402,38600
1,402,38800
1,402,39000
1,402,39200
1,402,39400
1,402,39600
1,402,39800
1,402,40000
1,402,40200
1,402,40400
1,402,40600
1,402,40800
