1
1
Degree,Service_Time,Time
8,46,200
8,56,400
8,58,600
8,58,800
8,58,1000
8,60,1200
8,58,1400
8,60,1600
8,60,1800
8,58,2000
8,60,2200
8,62,2400
8,59,2600
8,63,2800
8,61,3000
8,62,3200
8,64,3400
8,63,3600
8,63,3800
8,65,4000
8,63,4200
8,63,4400
8,63,4600
8,63,4800
8,63,5000
8,62,5200
8,64,5400
8,74,5600
8,73,5800
8,73,6000
8,73,6200
8,73,6400
8,73,6600
8,73,6800
8,73,7000
8,73,7200
8,73,7400
8,73,7600
8,73,7800
8,73,8000
8,76,8200
8,73,8400
8,73,8600
8,73,8800
8,73,9000
8,73,9200
8,73,9400
8,73,9600
8,62,9800
8,65,10000
8,67,10200
8,65,10400
8,67,10600
8,65,10800
8,67,11000
8,70,11200
8,65,11400
8,67,11600
8,67,11800
8,68,12000
8,67,12200
8,65,12400
8,65,12600
8,68,12800
8,68,13000
8,68,13200
8,84,13400
8,68,13600
8,73,13800
8,73,14000
8,73,14200
8,704,14400
8,704,14600
8,704,14800
8,704,15000
8,704,15200
8,704,15400
8,704,15600
8,704,15800
8,704,16000
8,704,16200
8,704,16400
8,704,16600
8,704,16800
8,704,17000
8,704,17200
8,704,17400
8,704,17600
8,704,17800
8,704,18000
8,704,18200
8,704,18400
8,704,18600
8,704,18800
8,704,19000
8,704,19200
8,704,19400
8,704,19600
8,704,19800
8,704,20000
8,704,20200
8,704,20400
8,704,20600
8,704,20800
8,704,21000
8,704,21200
8,704,21400
8,704,21600
8,704,21800
8,704,22000
8,704,22200
8,704,22400
8,704,22600
8,704,22800
8,704,23000
8,704,23200
8,704,23400
8,704,23600
8,704,23800
8,704,24000
8,704,24200
8,704,24400
8,704,24600
8,704,24800
8,704,25000
8,704,25200
8,704,25400
8,704,25600
8,704,25800
8,704,26000
8,704,26200
8,704,26400
8,704,26600
8,704,26800
8,704,27000
8,704,27200
8,704,27400
8,704,27600
8,704,27800
8,704,28000
8,704,28200
8,704,28400
8,704,28600
8,704,28800
8,704,29000
8,704,29200
8,704,29400
8,704,29600
8,704,29800
8,704,30000
