4000
Degree,Service_Time,Time
8,5047,783
8,5092,1869
8,5130,2846
8,5143,3161
8,5176,3954
8,5211,5289
8,5256,6075
8,5269,6767
8,5306,7216
8,5331,8437
8,5334,8999
8,5395,9626
8,5439,10116
8,5474,11175
8,5486,11938
8,5486,13264
8,5501,14004
8,5623,15230
8,5695,16202
8,5719,16538
8,5734,16749
8,5044,17917
8,4726,18684
8,4788,19313
8,4790,19695
8,4790,21025
8,4817,21287
8,4970,22610
8,4997,22877
8,5150,24212
8,5213,24741
8,5348,25943
8,5444,26965
8,5492,27423
8,5540,27892
8,5620,28659
8,5652,29052
8,5764,30108
8,5804,30519
8,5868,31161
8,5988,32390
8,6068,33163
8,6084,33384
8,6116,33703
8,6196,34487
8,6301,35624
8,6357,36222
8,6469,37546
8,6588,38861
8,6707,40231
8,6763,40844
8,6875,42170
8,6903,42461
8,7003,43641
8,7039,44197
8,7075,44670
8,7099,44932
8,7171,45902
8,7201,46298
8,7249,46979
8,7315,47884
8,7375,48609
8,7411,49093
8,7447,49620
8,7549,50956
8,7633,52061
8,7651,52307
8,7675,52636
8,7759,53749
8,7789,54206
8,7807,55330
